label,text
negative,"А попа подозревала давно,что ты с кавказа..перестану общаться с тобой"
speech,З прошедшим Днем Ангела))))))))
skip,Два дня до отлёта с острова!!!!!!!
negative,"Блин, почему эта жизнь столь не справедлива (((("
skip,где еще встречать свой день рождения как не на кладбище))))
neutral,"Решите уравнение мужских дел для жизни :
Домов - 3
Деревьев - 5 
Сыновей - ?"
positive,патамушта я крутая баба! ееее!!
neutral,Просто пост :)
positive,урря!я дождался этой овцыы)
speech,"С Днем Рождения желаю много счастья, любви и успехов во всем:) И еще с днем Защитника Отечества;))))))))"
skip,"Все мы - украинцы , белорусы, россияне - мечтаем жить вместе в одной большой, богатой и очень дружной стране. В Канаде, например."
positive,Наша гордость !
skip,Как мало надо для счастья. Как много надо для счастья...
negative,"Походу, первым кто поздравил меня с 1 апреля - это РЖД, 40 мин жду электричку"
neutral,познакомил свою девушку с Ксюшей
skip,сестричка* Ксюшка))
skip,Семизубая девчонка - это ты! =))
skip,"На мой остров напали пираты!
Помоги мне их прогнать!
"
negative,Тесака арестовали... 
skip,З ДНЕМ НАРОДЖЕННЯ ^_^
positive,ТЫ МОЕ МАЛЕНЬКОЕ СЧАСТЬЕ !!!!!!! Я ТЕБЯ ЛЮБЛЮ ОЧЕНЬ СИЛЬНО !!!!!!!!!
positive,В этом﻿ ролике прекрасно абсолютно всё.
neutral,"
Рекомендую смотреть это видео, раскрыв на весь экран, указав хорошее качество HD в плеере youtube и в наушниках )) Фоновый голос: Флигинских Александр."
skip,Курсова у доброва)
skip,"• Виздоровлюй    пошвидче!!! 
• Фото: vk.com/fotiko#photo1990201"
speech,добрый вечер)
positive,Гопник на деревне. Разбить бутылку монетой. А вам слабо?
neutral,"Не позволяйте женщине быть сильной… Ведь силой наделен мужчина. 
Позвольте ей быть слабой, беззащитной. Прижаться робко к крепкому плечу. 
Дарите ей тепло, любовь и верность. В ответ она вам даст уют и нежность. 
Сиянье глаз — влюбленных и счастливых. В природе не должно быть женщин сильных"
positive,Сказочный мир)
skip,"Дружба трех женщин заключается в том, что две из них обсуждают третью.))"
neutral,не по дням а по часам
skip,"Рома, как твои дела со снегом))"
positive,Ыыыы)))Мне снова кто-то пополнил счёт)))))
skip,"[id50332251|Анечка], Кто же те бе не дает быть слабой? ;-) Будь.... становись к плите и готовь :-)"
speech,"С Днем Варенья ,Фанат ) Всего самого наилутшего !"
positive,"хах,...витаминчики)))**"
negative,"YOUTUBE ввел нововведение: теперь видеохостинг не отображает просмотры, собранный роликами на сторонних сайтах. #мнененравится"
skip,майже як ми)
skip,А че это мы не спим))
neutral,"Торт ""Бильярдный стол"""
skip,Сами принимаете как ставить человека в своих глазах! (?ky)
positive,"Финал ББешечки, красиво стильно"
neutral,Украину могла бы спасти федерализация
neutral,"Написал колонку про Жанну и Смерть

"
neutral,переходи по ссылке и выбирай любую
negative,"4 года без...
Помним"
neutral,Сегодня получил студенческий )
neutral,это то шо я на вышке пел))
speech,С днём рождения тебя!!! Желаю успехов в жизни и всего всего самого хорошего!!! 😊
skip,Друзей не выбирают... Настоящий друг - это подарок судьбы...
skip,"-А вы с ним встречаетесь? 
- Нет, мы просто потом поженимся."
speech,С Крещением!
skip,Дякую [id18933190|Максим Моцак]
neutral,"ларис,еды надо)))"
negative,"соскучилась по тебе, дружище"
skip,Женская логика непостижима =)
skip,)))) Всё равно ты её послушаешь ))))
neutral,Отдыхаем на Родине
positive,я буду жить вечно)
neutral,"Нужен активный человек, который бывает разных местах Самары и может хорошо выражать своё мнение. Вы такой? напишите "
negative,"Завязывай с тотализатором, пока все деньги не просадил."
positive,"Хомячуля, все для тебе☺"
skip,"Никогда не обещай мне: любить, беречь, быть
рядом...
У меня есть одна особенность - верить..."
positive,удачное лето
skip,"привет,дружок! Не проеби отличную киношку) кого заинтересовало - пишите в лс"
neutral,как называется это так сказать танец??
skip,Реальность нашего бытия....
neutral,вот оригинал!!!!!!
negative,Кажется кому-то нужен директор по свежести
skip,☆Отправлено через 
positive,На пляж по традиции😄🏄🏼☝🏾️#выпускной #prom
neutral,=) может ты и видела уже)
positive,Я поссал на первый снег =DDя собой теперь доволен =DD пхахахаххаха))**
neutral,После тренировки
neutral,Искусство моей сестренки!!!
skip,"Прости, мы не можем быть вместе, потому что ты живешь слишком далеко от меня, и мне лень ездить к тебе с пересадками."
neutral,Кто вечером на вейкборд компанию составит?
skip,"Своих друзей не выбираю
И полагаюсь лишь на сердце.
Я в душу дверь не закрываю,
Впущу, кто захотел согреться.

Кто появился без корысти,
Без кривотолков и без злобы,
С открытою душой и чистой,
За словом искренним и добрым.

Они поймут меня любую,
И примут все мои причуды,
Мы вместе, трудности минуя,
Ещё родней и ближе будем.

И друг за друга мы готовы,
Вступиться, если обижают,
Оружие одно лишь - слово,
Мы им богатство измеряем."
negative,"Дорогие товарищи! Если после просмотра данной киноленты вы всё ещё будете хотеть мясца, колбасы и прочей дряни... Мне вас жаль. Мне жалко бедных и неразумных животных, но этот проклятый мир - тупая мясорубка, и пока с этим ничего не поделать. Прошу слабонервным не смотреть(пусть за вас домыслит ваш серый биологический процессор). Нет, я серьёзно, зачем вам, если вдруг что, блевота на клавиатуре/столе/одежде? Посмотрели? Ну как? Ах да, и я о5 совсем забыл спросить: вот сейчас, вы всё ещё хотите пельмешек?"
speech,"Кто это, с кем с первых дней в учёбы нашли друг друга: учеба, концерты, личное? Кто был правой рукой? Кто всегда знал, что подсказать, уверить, смотивировать? Кого порой хочется удушить обнимая? Это всё ты. Такой мелкий комок с неисчерпаемым количеством энергии, идей, позитивного взгляда на жизнь. У тебя есть чему учиться! Всегда!С днем студента!!"
negative,"любви точка нет,любви нет и точка..."
positive,"Просто быть рядом… Прижавшись… Чувствовать тепло, слышать трепет дыханья… знакомый запах… просто молчать… счастье. ©"
skip,оп оп сегодня
neutral,по Батуми гуляют чипованые дворняги
speech,"Поздравляю вас С Днём Рождения!!!! Желаю вам всего самого наилучшего,самое главное здоровья и счастья)) я вас ооочень сильно люблю!! Всего вам самого наилучшего🌷🌷🌷Ваша племяшка♥♥♥"
neutral,"никто
не
знает
где
стакан"
negative,Прости меня я ошибся!!!!!!Я не поверил тебе!!
skip,ХЕРСОН СНИМАЕТ КРАСНЫЕ ФЛАГИ!
speech,С Днём Рождения) Всех благ!!!
positive,Рождение - это Великое Чудо
negative,"Техническая поддержка #nod32 на высоте. 4 дня ждал ответа от российской ТП. Ладно хоть сказали, какой файл стал причиной блокировки моего сайта их антивирусом. И их не волнует, что это текстовый файл, защищённый паролем. За подробностями отправили в англоязычную ТП, которая молчит уже неделю, даже никакого письма о подтверждении получения моего письма не прислали."
positive,Вот тебе няшку:)*
neutral,Февраль пахнет весной
neutral,Весенняя задачка
positive,"У нас тут в А2 саундчек Гриши Урганта и ребят из Science Slam.

Один из музыкантов, говорят, упал со сцены. Наши ребята пока держатся;)"
neutral,Сезон любования сакурой и у нас тоже.
skip,"Едут в автобусе панк и монашка. Панк говорит:

- Э-э,типа, я трахаться хочу.

Монашка краснеет и на следующей остановке вылетает из автобуса. Води- тель говорит панку:

- Приятель, я могу тебе помочь. Каждый вторник эта телка приходит на кладбище и там молится. Ты прикинься Богом, ну а там сам поймешь.

Во вторник панк надел прикид с капюшоном, пришел на кладбище и спрятался за плитой. Монашка пришла и начала молиться. Панк ей говорит громким голосом:

- Монашка, я твой Бог, ты должна мне отдаться!

- Хорошо, -отвечает монашка, - только пусть это будет анальный секс - я хочу сохранить девственность.

После бурного секса панк снимает капюшон и радостно кричит:

- Я панк, я панк!

Монашка тоже снимает капюшон:

- Я водитель, я водитель!"
negative,"Минус одиночества в том, что через время
начинаешь получать от этого кайф. И
просто не пускаешь никого в свою жизнь."
skip,в г.Антрацит пророссийские активисты вместо флага РФ вывесили флаг Нидерландов. lol
positive,Поумиляйтесь немного.)
neutral,ты вроде кошачье любишь ;)
speech,"С Днюхой тебя, чувак )))"
skip,"МОзок рве,душа горить!1!"
skip,)))без комментариев !
skip,УУУУуууххххххххх поганннннне передчуття....(((
skip,"Наберите в Гугле ""как жрать суши""... И посмотрите что вам выдаст этот миролюбивый поисковик)))"
skip,это мы с тобой так поедем))))))))))))))
negative,Хочется обнять кого согреть любовью а самому скучно жить если было бы щястье я бы все сделал для любви и пусть которой она заслуживает
positive,"Приходи, Тебе ВСЁ понравится!.. ;)"
skip,На такой скорости покататься с девушкой!!!
skip,Прелести Казани
skip,его то как подмяли?
positive,"Хочу кран, из которого идет оливье."
skip,Фотошоп-мастер [id15045422|Андрей]
positive,Просто космос!
positive,"Ващеее круууто)), супер, музыка и видос)"
negative,успешно проебали лето.
positive,это тебе чтобы каждый день был сладким!!!:-):-):-):-)😊
skip,Я против тебя=)))
neutral,"Нет, я не за #ЗОЖ"
neutral,Моя мама ...
skip,Давно пора
skip,водичка водичка водаа...
neutral,на Чаки очень похож ))))
speech,с днем рождения братан))
skip,"ПРО МЕНЯ :
- Что вы любите?
- Курить
люблю! Курить люблю пиздец! Курил бы блять 24 часа в сутки, просто не
вынимал бы сигарету изо рта, курить люблю аж рвёт, не могу жить без
сигарет, курить люблю пиздец!
- Хм, ясно. А что ещё любите?
- Ебаться люблю! Ебаться люблю пиздец! Ебался бы круглыми сутками, ебал
бы, ебал бы и ебал бы, хоть бы весь в пизду залез, только чтоб голова
торчала!
- Ээ.. а голова зачем?
- Курить люблю пиздец"
positive,Моя любимая фоточка)
speech,С ДНЁМ РОЖДЕНИЯ!!!
skip,"Вася,ты что делаешь?-
Дерево выкапываю,математичка домашку дала-корень
найти.
-Ни фига,тебе ещё повезло: Федьке она ваще сказала член на
многочлен разделить.Сидит нож точит,плачет."
neutral,Не забываем смотреть и комментить фотки
speech,С Днем рождения родной!))
skip,а вот эту наврядли
positive,а мы вот вчера под блюз тусили)
neutral,"Ну ,я подозревала это ."
skip,Я настоящий Васян и сижка даже есть за ухом и шапуля как надо надета и на остановочке пивас пила сегодня. Такие дела.
positive,"как поет, как поет)"
speech,С Новым Годом!
positive,иихуу))) ещё на год постарел)))
skip,Хто хоче статы моею музою
positive,"Есть такие люди, которых стоит увидеть, — и уже счастлив! Анечка, рада нашей встрече! Приезжай по-чаще! Я тебя очень люблю и скучаю! 💋 💋 💋"
negative,"Раньше слово ""ЛЮБЛЮ"" было, как платье от Коко Шанель. Теперь, как дешевая майка с вьетнамского рынка"
negative,"Прости, но я хочу вредной еды. .....Так хочется гамбургер из Макдональдса…
Будет мучить изжога и неприятный запах изо рта ...Но ,сука,как же порой хочется изваляться в этой луже ...до поросячьего визга.....
Она всегда будет хотеть гамбургер.... Чертов гамбургер!!!"
speech,"Чтоб жил лучше всех от Нью-Йорка до Бреста
Чтоб красный Феррари стоял у подъезда
Чтоб были в кармане большие денжищи
Короче, тебя с днём рожденья, дружище!))))"
skip,Смысл жизни*****
positive,сегодня нас уже будет двое)
negative,"ну вот -флажок с американского перекрасили.ну а как все начиналось- а Абхазии я сам лично видел последствия, и с многими абхазами говорил, которые в 90х бежали, и которые там выживали.и как грузины - беженцев при погрузке на корабли у уничтожали.мой знакомый выжил например -только по тому что грузинский автоматчик был его учеником..... и жилые многоэтажки- все в пулевых и осколках"
negative,Я вас блядь всех с ума сведу нахуй!
negative,"Так хочется ночью тебе позвонить и сказать, что не спится…
Услышать твой сонный разбуженный голос… и в нем раствориться…
Сказать «Мой родной, мне так грустно вдруг стало очень, 
И я позвонила сказать, что скучаю…» — ну так… между прочим… 

Что был, мол, тяжелый день… проблемы… другие заботы… 
Что на улице дождь… и не балуют солнцем прогнозы погоды… 
А вечером закуталась в плед и за комп… и с лимоном чаю… 
Листала страницы инета… но мысли к тебе все, любимый… скучаю…"
neutral,Артём Дорохов предложил сфотографировать содержимое своих сумок
speech,С Днём Рождения)))))
neutral,"Федь, спать не собираешься?"
skip,"Посмотри, кто у тебя первый в списке друзей?
увидел?
вот, этот человек тебе дорог.
не вздумай проебать его."
speech,"Счастья, удачи, любви и везения
Мира, добра и благотворения)
Верных друзей,
Неожиданных встреч,
Море улыбок, объятий, цветов
Нежности вечной, любви бесконечной
Все для Тебя в этом мире большом!
С Днём Рождения !!!
Обнимаю, целую)))))"
speech,"С праздничком)))
"
neutral,"Ещё афиши, если кто не видел"
neutral,ты станеш моей женой
negative,"одного люблю. другой нравится. с третьим гуляю. ахуенная девочка,бля"
skip,"На все руки-мастер:и на правую,и на левую."
skip,это взрыв мозга!!!!!
skip,старик возрошайся в игру)))))
positive,"я тоже))))
за то вчера было весело)))

погоним сегодня)))"
neutral,Маникюрчик Оличке!
negative,а чего это ты в контакте сидишь?! Лопату в руки и бегом на крышу!!!!
positive,"Всегда буду ценить тех людей, которые 
в трудный момент скажут: ""Я с тобой!"""
positive,"даааа,я научился ездить а лыжах)))"
neutral,во всех летних альбомах страны
negative,"Рив Гош, или несколько слов о воровстве."
positive,припев цепляет)
neutral,Выдохся совсем! По ссылке жмакни: 
skip,"Лучше потерять гордость ради человека, которого любишь, чем человека из-за гордости!!!"
