label,text
neutral,Прорвём информационную блокаду изнутри. 
negative,"Никогда у меня не будет ""одного приложения для всего"". В топку эти ущербные универсальности."
skip,"Кури-и тебя не укусит злая собака, потому что ты воняешь,кури-и тебя не ограбят,так как ты испугаешь грабителей отвратительным громким кашлем, кури - и ты не умрешь от старости, просто не доживешь до нее. Дамы и господа курите насмерть!!!"
neutral,"Есть 3 типа людей:
Умные, которые делают все сразу.
Умные, которые откладывают на потом и доделывают.
И Я...сначала впадлу потом поздно"
neutral,мегафон чет накрыло
skip,"Блин, все как с ума посходили с этими рисунками на стенах. Заходишь в ""Новости"", как в Третьяковскую галерею..."
skip,"Они любили только лето. Они мёрзли, но не сдавались. На дворе было 124-е августа.."
neutral,Шах и мат.
negative,"Просто в дрожь бросает. Как можно быть такими тупыми? 
От хохлянских фразочек я офигеваю, а от школярского голоса да и этих кортавых фраз я вообще херею.."
positive,"косяк, я соскучилась по тебе ("
negative,Плсторел :'(
negative,бляять да забей ты ужеееееее!!!!!
negative,"Нам так мало лет, а мы уже по горло сыты этим миром.(с)"
negative,Не хочу выходить на улицу! Почему у меня командировка не в Эмираты (((
neutral,Бог ненавидит нас всех.хэнк моуди
negative,"Ща всё будет, хана им 🔪🔫"
neutral,Журналист ленты новостей...
neutral,Че то скучно пишите ее
neutral,Расстрел Чаушеску и его жены
neutral,"иногда, вечерами..."
neutral,"Если человек не пьёт и не курит, неволей начинаешь задумываться, а не сука ли он.. © Антон Павлович Чехов."
negative,а на 3 камере опять пездежь
positive,Санечка..соскучилась(
skip,"Печально, очень печально, когда тебя просят втянуть живот, а ты уже втянул :)"
negative,"Смерть страшна, но еще страшнее было бы сознание, что будешь жить вечно и никогда не умрешь."
neutral,"Крепитесь люди, скоро лето... (c)"
neutral,"Детский крематорий ""Уголек""."
negative,"«Фонемный состав морфемы передается по сильной фонетической позиции».

Я люблю русский язык. Он так иногда умеет одной фразой вынести мозг! (((="
negative,"Я привыкаю к людям, как к наркоте… И потом, когда эти люди уходят… У меня начинается ломка… Ей Богу, лучше бы я курила. (с)"
negative,"Может быть Я и псих, но уж больно Мне нравится наблюдать за людьми. Жалкие, мелкие людишки, которые двуликие даже по отношению к самым близким людям. Улыбаясь в лицо, и называя другом, они готовы впиться клыками в горло при первом-же удачном моменте. Их глупые обещания или красноречивые выссеры в сторону любых тем, вызывают у Меня острые приступы метеоризма. Посмотрите на себя, вы отвратительны!"
negative,фу! блеать сам смотри свой вормгажточкаком! отвратительно! бляяяяяяяяяяяяяяяяяяяя
skip,Вам никогда не приходило в голову копьё?
negative,я охуел...
neutral,"Все равно верю, что человек не может специально совершить плохой поступок поступок!!! Оступиться от отчаянья может(("
negative,"Меня выбешивают люди,
которые говорят ""я ничего не
знаю"", а затем получают 5.
Коварные уроды, блядь *:)"
negative,наблюдая за событиями в украине с конца прошлого года за тем как ведут себя лидеры и народ в украине и россии ЕС и америке можно сказать только одно ПЛОХО ВСЁ!!.........НЕТ ПРАВДЫ НЕ У КОГО всё переплелось в узел обмана трусости обольщения ненависти и скудоумия и этом нет не чего удивительного потому что это царство ДЬЯВОЛА
neutral,Овечья болезнь последних времен.
neutral,"Падение межпланетной станции: страх перед ""Фобосом"" растет .Этот уже который по счёту,я сбился,третий?..четвёртый??"
negative,а теперь быстро пошел и выбросился из моей головы
positive,"Эх, кк же хочется в Неверляндию..."
negative,блииин...ну как выучить этот текст????.....='(((
neutral,💦всем по сопле((
negative,"Cкоро  каникууууулы!
А некоторые между прочим уезжают! :("
negative,5.Плачу- я лох !
speech,"Извините меня все, кому я что-то сделал, кого чем-то обидел, мне очень жаль !!! ((("
neutral,"""Нахуй сон"",а щас дрыхнеш,заметь тайлер не спал"
negative,"Я унылое говно! не пишите мне! я не хочу не с кем разговаривать .....:
..."
neutral,и так каждую ночь
neutral,как все интересно-то стало...
negative,"скучаю, девулички мои(("
negative,"жесть, а когда-то я Путина уважала("
negative,ПАШЁЛЬ ОНо НА ХУЙ
skip,"""Когда мне грустно, я жру. Когда я жру, я толстею. Когда я толстею, мне грустно. Когда мне грустно, я жру…"""
negative,"Чтоб ты слюнями захлебнулся, пес смердячий!"
negative,фуу мне так плохо может бухнуть так что би ето всё забыть:!?
negative,"осталось меньше пяти дней.. где, бля, снег?!"
negative,Скоропостижно скончался американский музыкант Принс   ((((
negative,"Четверг, который как понедельник, только хуже. Несу меланхолию в массы"
skip,"Як же хочеться назад... ""ЕКОЛОГ"", я скучаю!!!.... :(("
negative,"яйценюк, ты что думаеш что в нашей стране все такие же дебилы как ТЫ?рассказуй это бендеровцам но не ДОНБАССУ!!!"
negative,Меня надо перевоспитать... А то я идиот!
negative,"Круто, чего еще сказать. По ходу дела я и тридцать брунейцев пойдут от гостиницы до Эрмитажа пешком. На хера нам при таких раскладах столь варварская роскошь как  автобус?"
