"Words";"mean";"dispersion";"average rate";
"аборигенный";"-0,25";"0,433012701892219";"0";
"аборт";"-1";"0,816496580927726";"-1";
"абрамович";"0";"0";"0";
"абсолютный";"0,333333333333333";"0,471404520791032";"0";
"абстрактный";"-0,111111111111111";"0,87488976377909";"0";
"абсурд";"-1";"0";"-1";
"абсурдно";"-1";"0";"-1";
"абсурдный";"-1";"0";"-1";
"абхаз";"0";"0";"0";
"абхазия";"0";"0";"0";
"авантюра";"-0,333333333333333";"0,471404520791032";"0";
"авантюрный";"-0,333333333333333";"0,471404520791032";"0";
"аварийный";"-1";"0,816496580927726";"-1";
"авария";"-1,25";"0,433012701892219";"-1";
"август";"0";"0";"0";
"авианосец";"-0,333333333333333";"0,471404520791032";"0";
"авиационный";"0";"0";"0";
"авиация";"0,111111111111111";"0,314269680527354";"0";
"австралиец";"-0,333333333333333";"0,471404520791032";"0";
"австралийский";"0";"0";"0";
"австралия";"0";"0";"0";
"австриец";"0";"0,577350269189626";"0";
"австрийский";"0";"0";"0";
"австрия";"0";"0";"0";
"австро-венгрия";"0";"0";"0";
"авто";"0";"0";"0";
"автобиографический";"0";"0";"0";
"автовладелец";"0";"0";"0";
"автодорога";"0";"0";"0";
"автолюбитель";"0,222222222222222";"0,628539361054709";"0";
"автомат";"-0,666666666666667";"0,471404520791032";"-1";
"автоматический";"-0,222222222222222";"0,415739709641549";"0";
"автоматчик";"0";"0";"0";
"автомобилист";"0";"0";"0";
"автомобильный";"0";"0";"0";
"автономный";"0";"0";"0";
"автор";"0";"0";"0";
"автореферат";"0";"0";"0";
"авторитет";"0,333333333333333";"0,471404520791032";"0";
"авторитетный";"0,666666666666667";"0,942809041582063";"1";
"автотранспорт";"0";"0";"0";
"автошкола";"0";"0";"0";
"ага";"-0,333333333333333";"0,471404520791032";"0";
"агент";"0";"0";"0";
"агентство";"0";"0";"0";
"агитационный";"0";"0";"0";
"агитка";"-0,833333333333333";"0,687184270936277";"-1";
"агония";"-1,33333333333333";"0,471404520791032";"-1";
"аграрный";"0,333333333333333";"0,471404520791032";"0";
"агрессивный";"-1";"0";"-1";
"агрессия";"-1,33333333333333";"0,471404520791032";"-1";
"адвокат";"0";"0";"0";
"адвокатский";"0";"0";"0";
"адекватно";"1";"0";"1";
"адекватный";"1";"0";"1";
"административный";"0";"0";"0";
"администрация";"0";"0";"0";
"адмиралтейский";"0";"0";"0";
"адресный";"0";"0";"0";
"адыгея";"0";"0";"0";
"ажиотажный";"0";"0";"0";
"азербайджан";"0";"0";"0";
"азербайджанец";"0";"0";"0";
"азербайджанский";"0";"0";"0";
"азиат";"0";"0";"0";
"азиатский";"0";"0";"0";
"азия";"0";"0";"0";
"азовский";"0";"0";"0";
"академия";"0,222222222222222";"0,415739709641549";"0";
"акбар";"0";"0";"0";
"акватория";"0";"0";"0";
"аккаунт";"0";"0";"0";
"аккуратненький";"0";"1";"0";
"аккуратный";"1";"0";"1";
"акт";"0";"0";"0";
"активизация";"0,111111111111111";"0,314269680527354";"0";
"активизировать";"-0,333333333333333";"0,471404520791032";"0";
"активизироваться";"0,166666666666667";"0,372677996249965";"0";
"активность";"0";"0";"0";
"актуально";"0,333333333333333";"0,471404520791032";"0";
"актуальный";"0,333333333333333";"0,471404520791032";"0";
"акцент";"0";"0";"0";
"акционер";"0";"0";"0";
"акция";"0";"0";"0";
